Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2022-02-26 14:39 (-08),On Demand,Leanne Hainsby-Alldis,10,Cycling,Warm Up,10 min Warm Up Ride,2021-10-30 23:30 (-08),59,98,33%,96,15.81,2.64,63,104.00,,
2022-02-26 14:51 (-08),On Demand,Hannah Corbin,30,Cycling,Intervals,30 min Intervals & Arms Ride,2022-02-24 02:53 (-08),236,131,44%,76,17.78,8.90,319,,,
2022-02-26 15:24 (-08),On Demand,Bradley Rose,10,Cycling,Cool Down,10 min Cool Down Ride,2022-02-20 23:00 (-08),56,94,38%,80,15.75,2.63,78,114.00,,
2022-02-26 15:35 (-08),On Demand,Bradley Rose,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2022-02-20 23:00 (-08),,,,,,,14,,,
2022-02-27 07:05 (PDT),On Demand,Robin Arzon,10,Stretching,Lower Body Stretch,10 min Lower Body Stretch,2021-06-28 07:00 (PDT),,,,,,,29,,,
2022-02-27 11:38 (-08),On Demand,Hannah Frankson,30,Cycling,Low Impact,30 min Low Impact Ride,2022-02-26 02:25 (-08),132,73,34%,79,13.93,6.96,145,94.00,,
2022-02-27 12:13 (-08),On Demand,Hannah Corbin,10,Stretching,Foam Rolling,10 min Foam Rolling: Full Body,2022-02-24 07:00 (-08),,,,,,,58,,,
2022-02-27 21:27 (PDT),On Demand,Ben Alldis,10,Stretching,Full Body Stretch,10 min Pete Tong Club Classical Stretch,2022-02-21 04:36 (PDT),,,,,,,29,,,
2022-02-28 07:03 (PDT),On Demand,Daniel McKenna,20,Strength,Upper Body,20 min Upper Body Strength,2022-02-19 09:47 (PDT),,,,,,,115,,,
2022-03-01 07:34 (-08),On Demand,Matt Wilpers,5,Cycling,Warm Up,5 min Warm Up Ride,2021-10-14 07:00 (-08),27,90,32%,96,15.43,1.29,32,104.00,,
2022-03-01 07:40 (-08),On Demand,Kendall Toole,15,Cycling,Climb,15 min Climb Ride,2022-02-16 08:00 (-08),145,161,46%,79,19.04,4.77,174,138.00,,
2022-03-01 07:56 (-08),On Demand,Robin Arzon,5,Cycling,Cool Down,5 min Cool Down Ride,2021-11-15 08:00 (-08),27,90,39%,75,15.39,1.28,46,123.00,,
2022-03-02 07:08 (PDT),On Demand,Ben Alldis,20,Strength,Upper Body,20 min Arms & Shoulders Strength,2022-02-23 03:55 (PDT),,,,,,,115,,,
2022-03-07 17:01 (-08),On Demand,Sam Yo,5,Cycling,Warm Up,5 min Warm Up Ride,2022-03-04 02:00 (-08),31,103,36%,90,16.38,1.36,29,99.00,,
2022-03-07 17:07 (-08),On Demand,Ben Alldis,10,Cycling,Low Impact,10 min Low Impact Ride,2022-03-07 06:32 (-08),55,92,35%,88,15.55,2.60,54,98.00,,
2022-03-08 16:15 (-08),On Demand,Bradley Rose,10,Cycling,Warm Up,10 min Elton John Warm Up Ride,2021-10-27 14:45 (-08),56,93,35%,88,15.66,2.62,57,100.00,,
2022-03-08 16:26 (-08),On Demand,Hannah Corbin,10,Cycling,Climb,10 min Climb Ride,2022-03-06 08:00 (-08),99,165,53%,66,19.15,3.20,94,122.00,,
2022-03-08 16:37 (-08),On Demand,Sam Yo,5,Cycling,Cool Down,5 min Cool Down Ride,2022-03-04 02:00 (-08),24,82,38%,73,14.86,1.23,30,103.00,,
2022-03-09 12:17 (-08),,,10,Cycling,,10 min Lanebreak Ride,,109,180,48%,82,19.99,3.36,148,,,
2022-03-10 08:40 (-08),On Demand,Hannah Frankson,10,Cycling,Warm Up,10 min Warm Up Ride,2021-10-21 22:00 (-08),60,100,36%,86,15.87,2.65,65,106.00,,
2022-03-10 08:51 (-08),On Demand,Denis Morton,30,Cycling,Intervals,30 min Intervals & Arms Ride,2022-03-09 06:50 (-08),242,134,43%,81,17.87,8.94,291,121.00,,
2022-03-10 09:21 (-08),On Demand,Christine D'Ercole,10,Cycling,Cool Down,10 min Foo Fighters Cool Down Ride,2021-11-17 08:00 (-08),32,54,27%,89,12.37,2.07,72,111.00,,
2022-03-11 15:01 (PDT),On Demand,Jermaine Johnson,20,Strength,Upper Body,20 min Upper Body Strength,2022-03-08 03:55 (PDT),,,,,,,115,,,
2022-03-12 10:51 (-08),On Demand,Alex Toussaint,10,Cycling,Warm Up,10 min Beyonce Warm Up Ride,2021-10-19 09:30 (-08),60,100,37%,84,15.96,2.66,70,110.00,,
2022-03-12 11:03 (-08),On Demand,Cody Rigsby,30,Cycling,Intervals,30 min Intervals & Arms Ride,2022-03-02 13:52 (-08),249,138,44%,80,17.97,8.99,317,132.00,,
2022-03-13 09:17 (PDT),On Demand,Daniel McKenna,10,Strength,Bodyweight,10 min Bodyweight Strength,2022-03-07 07:30 (PDT),,,,,,,58,,,
2022-03-14 07:49 (-07),On Demand,Bradley Rose,10,Cycling,Warm Up,10 min Warm Up Ride,2022-03-14 00:00 (-07),43,72,30%,92,13.90,2.32,53,98.00,,
2022-03-14 08:00 (-07),On Demand,Jenn Sherman,20,Cycling,Climb,20 min Climb Ride,2022-02-22 08:25 (-07),155,129,45%,75,17.65,5.89,210,,,
2022-03-14 08:22 (-07),On Demand,Olivia Amato,5,Cycling,Cool Down,5 min Cool Down Ride,2022-03-11 09:00 (-07),48,160,44%,85,19.17,1.59,58,139.00,,
2022-03-15 20:16 (PDT),On Demand,Matty Maggiacomo,20,Stretching,Full Body Stretch,20 min New Year's Day Recovery Stretch,2022-01-01 00:00 (PDT),,,,,,,58,,,
2022-03-16 09:00 (-07),On Demand,Christine D'Ercole,5,Cycling,Warm Up,5 min Warm Up Ride,2021-10-07 08:00 (-07),20,68,31%,88,13.77,1.15,27,98.00,,
2022-03-16 09:05 (-07),On Demand,Emma Lovewell,30,Cycling,Intervals,30 min Intervals & Arms Ride,2022-03-15 04:22 (-07),221,122,43%,78,17.06,8.54,300,,,
2022-03-16 09:38 (-07),On Demand,Denis Morton,5,Cycling,Cool Down,5 min Cool Down Ride,2022-03-14 08:00 (-07),14,47,27%,87,11.44,0.95,46,123.00,,
2022-03-17 07:25 (-07),On Demand,Leanne Hainsby-Alldis,30,Cycling,Intervals,30 min Intervals & Arms Ride,2022-03-07 11:25 (-07),204,113,42%,74,16.30,8.15,353,140.00,,
2022-03-18 07:35 (-07),On Demand,Ben Alldis,30,Cycling,Scenic Ride,30 min Iceland Ride,,234,130,40%,87,17.50,8.75,323,132.00,,
2022-03-19 07:51 (-07),On Demand,Olivia Amato,5,Cycling,Warm Up,5 min Warm Up Ride,2022-03-18 08:00 (-07),45,148,42%,87,18.67,1.56,47,124.00,,
2022-03-19 07:57 (-07),On Demand,Hannah Frankson,30,Cycling,Music,30 min 2000s Pop Ride,2022-03-17 11:25 (-07),237,132,41%,87,17.91,8.96,338,136.00,,
2022-03-19 08:27 (-07),On Demand,Leanne Hainsby-Alldis,10,Cycling,Cool Down,10 min Donna Summer Cool Down Ride,2022-03-15 13:00 (-07),44,74,32%,85,14.04,2.34,82,117.00,,
